"","par1","par2","par3","par4","par5","par6","par7","par8","par9","part10","par11","par12","meanGroup","facesDisplayTime","maskTime","groupChoice","id","trial","faceIdentity","SD","realSD","rating","rt","image","condition","condition1","music.rock","music.pop","live.city","live.town","eat.icecream","eat.hamburger","time.beach","time.pool","pet.cat","pat.dog","X30","threatSimilar","threatDifferent","immoralSimilar","immoralDifferent","selectionPrinciple","selectionNoWhy","selectionYesWhy","groupPrecentEstimate","iden1","iden2","iden3","iden4","iden5","ntb1","ntb2","ntb3","ntb4","ntb5","ntb6","ntb7","ntb8","ntb9","ntb10","enviroDifRace","enviroDifSes","enviroDifPoli","sd1","sd2","sd3","sd4","sd5","sd6","sd7","sd8","sd9","sd10","sd11","bigFiveExtraverted","bigFiveCritical","bigFiveCons","bigFiveNeuro","bigFiveOpen","bigFiveReserved","bigFiveWarm","bigFiveCareless","bigFiveCalm","bigFiceConventional","poli","age","sex","citizen","citizenText","liveUS","yearsUS","partUS","partUSText","black","latin","white","asian","other","edu","income","identscale","condition_bi","condition_biEffect"
"865",139,119,135,141,123,115,143,117,137,127,131,121,129,1.98965,0.0007521,1,26,7,1,1,9.9453,139,1.61174,17,"low","low",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Different Mean",1
"866",145,150,134,150,127,148,150,128,135,139,148,125,139.917,1.98445,0.000253741,1,26,8,3,1,9.78364,140,1.55035,20,"same","same",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Same Mean",-1
"867",142,140,138,136,128,144,120,116,122,118,132,124,130,1.98705,0.000281396,1,26,9,1,1,9.9453,140,1.88108,34,"low","low",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Different Mean",1
"868",136,138,124,132,142,144,122,120,128,118,140,116,130,1.987,0.000608123,0,26,10,3,1,9.9453,140,1.8646,18,"low","low",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Different Mean",1
"869",150,135,134,125,150,148,150,139,148,127,128,145,139.917,1.99391,0.000352671,0,26,11,4,1,9.78364,140,1.45722,47,"same","same",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Same Mean",-1
"870",150,134,150,127,150,148,128,135,148,125,145,139,139.917,1.99406,0.000308196,0,26,13,2,1,9.78364,140,1.74093,40,"same","same",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Same Mean",-1
"871",128,138,120,116,144,132,140,142,136,124,122,118,130,1.98949,0.000225801,1,26,14,3,1,9.9453,140,2.19542,31,"low","low",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Different Mean",1
"872",125,135,145,127,150,150,134,150,139,148,128,148,139.917,2.00044,0.000246043,1,26,15,4,1,9.78364,140,2.13434,38,"same","same",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Same Mean",-1
"873",136,124,116,140,132,122,144,120,118,128,142,138,130,1.99963,0.000228652,1,26,16,2,1,9.9453,140,1.73503,42,"low","low",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Different Mean",1
"874",109,107,111,133,121,129,131,127,105,117,113,125,119,1.99221,0.000574196,1,26,17,1,1,9.9453,129,2.7924,22,"low","low",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Different Mean",1
